Step,Tr,Date,Depth
1,50,19APR2026 00:00:00,4.867095947
2,50,19APR2026 00:15:00,4.375289917
3,50,19APR2026 00:30:00,4.120544434
4,50,19APR2026 00:45:00,3.92741394
5,50,19APR2026 01:00:00,4.032653809
6,50,19APR2026 01:15:00,5.309783936
7,50,19APR2026 01:30:00,7.20513916
8,50,19APR2026 01:45:00,8.77130127
9,50,19APR2026 02:00:00,9.922164917
10,50,19APR2026 02:15:00,10.75076294
11,50,19APR2026 02:30:00,11.30961609
12,50,19APR2026 02:45:00,11.7016449
13,50,19APR2026 03:00:00,11.97142029
14,50,19APR2026 03:15:00,12.188797
15,50,19APR2026 03:30:00,12.37934875
16,50,19APR2026 03:45:00,12.55000305
17,50,19APR2026 04:00:00,12.70726013
18,50,19APR2026 04:15:00,12.85287476
19,50,19APR2026 04:30:00,12.98445129
20,50,19APR2026 04:45:00,13.11141968
21,50,19APR2026 05:00:00,13.24084473
22,50,19APR2026 05:15:00,13.36509705
23,50,19APR2026 05:30:00,13.4828949
24,50,19APR2026 05:45:00,13.59739685
25,50,19APR2026 06:00:00,13.71476746
26,50,19APR2026 06:15:00,13.8352356
27,50,19APR2026 06:30:00,13.96379089
28,50,19APR2026 06:45:00,14.09947205
29,50,19APR2026 07:00:00,14.24377441
30,50,19APR2026 07:15:00,14.39422607
31,50,19APR2026 07:30:00,14.55235291
32,50,19APR2026 07:45:00,14.71531677
33,50,19APR2026 08:00:00,14.88322449
34,50,19APR2026 08:15:00,15.06164551
35,50,19APR2026 08:30:00,15.24789429
36,50,19APR2026 08:45:00,15.4377594
37,50,19APR2026 09:00:00,15.62638855
38,50,19APR2026 09:15:00,15.80375671
39,50,19APR2026 09:30:00,15.95001221
40,50,19APR2026 09:45:00,16.06011963
41,50,19APR2026 10:00:00,16.13885498
42,50,19APR2026 10:15:00,16.1927948
43,50,19APR2026 10:30:00,16.22961426
44,50,19APR2026 10:45:00,16.25161743
45,50,19APR2026 11:00:00,16.26145935
46,50,19APR2026 11:15:00,16.25891113
47,50,19APR2026 11:30:00,16.24795532
48,50,19APR2026 11:45:00,16.23097229
49,50,19APR2026 12:00:00,16.21005249
50,50,19APR2026 12:15:00,16.18617249
51,50,19APR2026 12:30:00,16.16001892
52,50,19APR2026 12:45:00,16.13197327
53,50,19APR2026 13:00:00,16.10342407
54,50,19APR2026 13:15:00,16.074646
55,50,19APR2026 13:30:00,16.0451355
56,50,19APR2026 13:45:00,16.01478577
57,50,19APR2026 14:00:00,15.98399353
58,50,19APR2026 14:15:00,15.9528656
59,50,19APR2026 14:30:00,15.92144775
60,50,19APR2026 14:45:00,15.88970947
61,50,19APR2026 15:00:00,15.85768127
62,50,19APR2026 15:15:00,15.82545471
63,50,19APR2026 15:30:00,15.79315186
64,50,19APR2026 15:45:00,15.76071167
65,50,19APR2026 16:00:00,15.72827148
66,50,19APR2026 16:15:00,15.69589233
67,50,19APR2026 16:30:00,15.66377258
68,50,19APR2026 16:45:00,15.63188171
69,50,19APR2026 17:00:00,15.60049438
70,50,19APR2026 17:15:00,15.56959534
71,50,19APR2026 17:30:00,15.53935242
72,50,19APR2026 17:45:00,15.50961304
73,50,19APR2026 18:00:00,15.48059082
74,50,19APR2026 18:15:00,15.45201111
75,50,19APR2026 18:30:00,15.42405701
76,50,19APR2026 18:45:00,15.39654541
77,50,19APR2026 19:00:00,15.36962891
78,50,19APR2026 19:15:00,15.34306335
79,50,19APR2026 19:30:00,15.31698608
80,50,19APR2026 19:45:00,15.29121399
81,50,19APR2026 20:00:00,15.26576233
82,50,19APR2026 20:15:00,15.24050903
83,50,19APR2026 20:30:00,15.21540833
84,50,19APR2026 20:45:00,15.19038391
85,50,19APR2026 21:00:00,15.16542053
86,50,19APR2026 21:15:00,15.14042664
87,50,19APR2026 21:30:00,15.11543274
88,50,19APR2026 21:45:00,15.09030151
89,50,19APR2026 22:00:00,15.06503296
90,50,19APR2026 22:15:00,15.0395813
91,50,19APR2026 22:30:00,15.01390076
92,50,19APR2026 22:45:00,14.98794556
93,50,19APR2026 23:00:00,14.96159363
94,50,19APR2026 23:15:00,14.93487549
95,50,19APR2026 23:30:00,14.90776062
